成交小区,成交价（万元）,成交楼层,单价每平（元）,朝向,成交时间
汇景花园 4室2厅 154.94平米,111,高楼层(共7层) 板塔结合,7119,南北|精装,2021.03.09
,,,,,
红海外滩 1室1厅 43.34平米,43,中楼层(共27层) 板塔结合,9844,南|精装,2021.03.09
,,,,,
紫气东来苑 2室2厅 89.42平米,85,高楼层(共11层) 板塔结合,9461,南|简装,2021.03.09
,,,,,
现代城 3室2厅 133平米,95,中楼层(共6层) 板塔结合,7143,南|简装,2021.03.09
,,,,,
水南街171号 4室1厅 113.73平米,75,低楼层(共4层) 板楼,6595,南北|简装,2021.03.09
,,,,,
金龙岗11号 1室1厅 38.79平米,43,中楼层(共5层) 暂无数据,11086,南|简装,2021.03.09
,,,,,
现代城 5室2厅 209.33平米,143,高楼层(共6层) 板塔结合,6832,东南|精装,2021.03.09
,,,,,
京都小区 3室2厅 129.52平米,92,中楼层(共7层) 暂无数据,7088,南|精装,2021.03.09
,,,,,
丰溪南区 2室1厅 75平米,45,低楼层(共6层) 板楼,6000,西南|简装,2021.03.09
,,,,,
亿升滨江花园 2室2厅 90平米,87,高楼层(共29层) 暂无数据,9589,南|毛坯,2021.03.09
,,,,,
远泉花园 3室2厅 123.24平米,75,中楼层(共17层) 暂无数据,6029,南北|毛坯,2021.03.09
,,,,,
万和·九龙湖 4室2厅 143.41平米,125,中楼层(共18层) 塔楼,8717,南|毛坯,2021.03.09
,,,,,
龙华世纪城 3室2厅 125.65平米,115,低楼层(共33层) 板楼,9153,南|精装,2021.03.09
,,,,,
九州奥城 5室2厅 276.83平米,195,中楼层(共6层) 板楼,7045,南|毛坯,2021.03.09
,,,,,
水木清华园 3室2厅 125.14平米,93,高楼层(共18层) 板楼,7432,南|毛坯,2021.03.09
,,,,,
水南街客车厂 3室2厅 72平米,42,高楼层(共6层) 板楼,5764,南|简装,2021.03.09
,,,,,
阳光福邸 3室2厅 143平米,98,中楼层(共13层) 板塔结合,6854,东|毛坯,2021.03.08
,,,,,
天一尊邸 3室2厅 88.79平米,75,高楼层(共18层) 板楼,8390,南|精装,2021.03.08
,,,,,
国际公馆 4室2厅 193.5平米,153,中楼层(共22层) 板楼,7907,南|精装,2021.03.08
,,,,,
中央公园二期 3室2厅 130平米,122,中楼层(共18层) 塔楼,9324,南|其他,2021.03.08
,,,,,
中航城·波西塔诺 4室2厅 142.33平米,125,中楼层(共17层) 板楼,8783,南|毛坯,2021.03.08
,,,,,
嘉禾雅居 5室3厅 135.88平米,95,高楼层(共7层) 板塔结合,6992,南北|精装,2021.03.08
,,,,,
上饶丽城 3室2厅 89平米,91,中楼层(共11层) 板楼,10192,南|精装,2021.03.08
,,,,,
国际公馆 5室2厅 184平米,123,中楼层(共18层) 板楼,6685,南|精装,2021.03.08
,,,,,
大学春城 3室2厅 124.48平米,97,高楼层(共6层) 板楼,7793,南|精装,2021.03.08
,,,,,
解放路9号 3室2厅 95.28平米,51,中楼层(共7层) 暂无数据,5332,东南|简装,2021.03.08
,,,,,
月泉花城 3室2厅 110平米,92,高楼层(共6层) 塔楼,8346,南|其他,2021.03.08
,,,,,
友邦華城 3室2厅 136.9平米,88,低楼层(共12层) 板楼,6429,南|精装,2021.03.08
,,,,,
上海公馆 1室1厅 46.45平米,29,中楼层(共20层) 塔楼,6244,南北|精装,2021.03.07
,,,,,
铁路新村7路 3室1厅 59.2平米,45,高楼层(共5层) 暂无数据,7517,南北|简装,2021.03.07
,,,,,
凤凰首府 3室2厅 116平米,63,高楼层(共7层) 板楼,5432,南|精装,2021.03.07
,,,,,
万达晶座 1室1厅 37.4平米,32,中楼层(共29层) 塔楼,8423,南|精装,2021.03.07
,,,,,
和锦園 2室2厅 87平米,85,中楼层(共6层) 板楼,9702,东南|精装,2021.03.07
,,,,,
名星广场 3室2厅 149.53平米,119,中楼层(共30层) 板楼,7945,南|简装,2021.03.07
,,,,,
财富广场 1室1厅 63平米,41,中楼层(共28层) 塔楼,6508,南|简装,2021.03.07
,,,,,
黄金水岸 4室2厅 127平米,99,高楼层(共23层) 板塔结合,7780,南北|精装,2021.03.06
,,,,,
汇成·凡尔赛 3室2厅 106平米,99,高楼层(共18层) 板楼,9340,南|精装,2021.03.06
,,,,,
美地印象 3室2厅 91.8平米,70,高楼层(共24层) 板塔结合,7604,南北|精装,2021.03.06
,,,,,
天骄家园 2室2厅 77.79平米,57,中楼层(共7层) 平房,7289,南|简装,2021.03.06
,,,,,
